word1,word2,SimLex999,conc(w1),conc(w2),concQ,Assoc(USF),SimAssoc333,SD(SimLex)
driver,pilot,6.28,4.71,4.67,3,0.26,0,1.52
sugar,honey,5.13,4.87,4.88,4,0.26,0,1.07
body,shoulder,2.88,4.79,4.93,4,0.25,0,1.47
idea,image,3.55,1.61,3.85,2,0.24,0,1.47
father,brother,4.2,4.52,4.43,3,0.24,0,1.28
moon,planet,5.87,4.9,4.58,4,0.24,0,1.57
ball,costume,2.32,5,4.57,4,0.24,0,1.02
rail,fence,5.22,4.9,4.82,4,0.24,0,1.17
room,bed,2.35,4.79,5,4,0.24,0,1.31
flower,bush,4.25,5,4.9,4,0.24,0,1.66
bone,knee,4.17,4.9,5,4,0.24,0,1.64
arm,knee,2.75,4.96,5,4,0.24,0,0.59
bottom,side,2.63,4.25,3.68,3,0.22,0,1.51
vessel,vein,5.15,4.66,4.63,3,0.22,0,1.55
cat,rabbit,2.37,4.86,4.93,4,0.22,0,1.67
meat,sandwich,2.35,4.9,4.9,4,0.22,0,1.69
belief,concept,5.08,1.19,1.41,1,0.21,0,1.44
intelligence,insight,5.9,2.24,1.72,1,0.21,0,1.59
attention,interest,7.22,2.3,1.8,1,0.21,0,1.21
attitude,confidence,4.35,1.97,2.17,1,0.21,0,1.22
right,justice,7.05,3.47,1.45,1,0.21,0,1.52
argument,agreement,1.45,2.85,2.22,1,0.21,0,1.36
depth,magnitude,6.12,3.11,2.43,2,0.21,0,1.64
medium,news,3.65,3,3.41,2,0.21,0,1.3
winner,candidate,2.78,3.21,3.81,2,0.21,0,1.29
birthday,date,5.08,3.2,3.9,2,0.21,0,1.2
fee,payment,7.15,3.89,3.91,3,0.21,0,1.56
bible,hymn,5.15,4.61,4.04,3,0.21,0,1.08
exit,doorway,5.5,3.93,4.75,3,0.21,0,1.73
man,sentry,3.25,4.79,4.04,3,0.21,0,1.22
aisle,hall,6.35,4.35,4.67,3,0.21,0,0.96
whiskey,gin,6.28,4.74,4.46,3,0.21,0,1.14
blood,marrow,3.4,4.86,4.48,3,0.21,0,1.17
oil,mink,1.23,4.93,4.58,4,0.21,0,1.53
floor,deck,5.55,4.8,4.77,4,0.21,0,1.06
roof,floor,2.62,4.79,4.8,4,0.21,0,1.66
door,floor,1.67,4.81,4.8,4,0.21,0,0.39
shoulder,head,3.42,4.93,4.75,4,0.21,0,1.14
wagon,carriage,7.7,4.89,4.86,4,0.21,0,1.84
car,carriage,5.13,4.89,4.86,4,0.21,0,1.2
elbow,ankle,3.13,5,4.81,4,0.21,0,1.48
wealth,fame,4.02,2.63,1.96,1,0.2,0,1.1
sorrow,shame,4.77,2.36,2.24,1,0.2,0,1.52
administration,management,7.25,2.78,2.72,2,0.2,0,1.67
communication,conversation,8.02,2.9,3.28,2,0.2,0,0.88
pollution,atmosphere,4.25,3.75,3.04,2,0.2,0,0.98
anatomy,biology,5.33,3.59,3.48,2,0.2,0,1.37
college,profession,3.12,4.62,2.83,3,0.2,0,1.41
book,topic,2.07,4.9,2.59,3,0.2,0,1.22
formula,equation,7.95,4.11,3.65,3,0.2,0,0.56
book,information,5,4.9,2.87,3,0.2,0,1.13
boy,partner,1.9,4.76,3.53,3,0.2,0,1.54
sky,universe,4.68,4.45,3.85,3,0.2,0,1.39
population,people,7.68,3.64,4.82,3,0.2,0,0.8
college,class,4.13,4.62,3.85,3,0.2,0,1.16
chief,mayor,4.85,4.26,4.37,3,0.2,0,1.25
rabbi,minister,7.62,4.64,4.22,3,0.2,0,1.35
meter,inch,5.08,4.7,4.37,3,0.2,0,1.19
polyester,cotton,5.63,4.12,4.97,3,0.2,0,1.53
lawyer,banker,1.88,4.7,4.43,3,0.2,0,1.18
violin,instrument,6.58,4.96,4.27,3,0.2,0,1.39
camp,cabin,4.2,4.35,4.92,3,0.2,0,1.2
pot,appliance,2.53,4.81,4.57,3,0.2,0,1.26
linen,fabric,7.47,4.8,4.63,3,0.2,0,1.26
whiskey,champagne,5.33,4.74,4.82,4,0.2,0,1.29
girl,child,5.38,4.85,4.78,4,0.2,0,1.21
cottage,cabin,7.72,4.85,4.92,4,0.2,0,1.47
bird,hen,7.03,5,4.9,4,0.2,0,1.43
racket,noise,8.1,4.26,3.52,3,0.19,0,1.49
sunset,evening,5.98,4.54,3.26,3,0.19,0,1.35
drizzle,rain,9.17,4.21,4.97,3,0.19,0,0.39
adult,baby,2.22,4.4,5,3,0.19,0,0.39
charcoal,coal,7.63,4.85,4.66,4,0.19,0,1.43
body,spine,4.78,4.79,4.88,4,0.19,0,1.22
head,nail,2.47,4.75,4.93,4,0.19,0,1.4
log,timber,8.05,4.96,4.9,4,0.19,0,1.12
spoon,cup,2.02,4.96,5,4,0.19,0,0.9
body,nerve,3.13,4.79,3.89,3,0.18,0,1.12
man,husband,5.32,4.79,4.11,3,0.18,0,1.71
bone,neck,2.53,4.9,5,4,0.18,0,1.05
frustration,anger,6.5,2.06,2.41,1,0.17,0,0.39
river,sea,5.72,4.89,4.79,4,0.17,0,0.39
task,job,8.87,2.84,3.19,2,0.16,0,1.75
club,society,5.23,3.78,2.54,2,0.16,0,1.59
reflection,image,7.27,3.29,3.85,2,0.16,0,1.06
prince,king,5.92,4.44,4.1,3,0.16,0,1.05
snow,weather,5.48,4.85,3.83,3,0.16,0,1.36
people,party,2.2,4.82,3.89,3,0.16,0,1.42
boy,brother,6.67,4.76,4.43,3,0.16,0,1.58
root,grass,3.55,4.34,4.93,3,0.16,0,1.35
brow,eye,3.82,4.39,4.9,3,0.16,0,1.41
money,pearl,2.1,4.54,4.87,3,0.16,0,1.94
money,diamond,3.42,4.54,4.89,3,0.16,0,1.37
vehicle,bus,6.47,4.64,4.9,4,0.16,0,1.38
cab,bus,5.6,4.88,4.9,4,0.16,0,1.64
house,barn,4.33,5,4.79,4,0.16,0,1.6
finger,palm,3.33,5,4.83,4,0.16,0,1.5
car,bridge,0.95,4.89,4.97,4,0.16,0,1.2
effort,difficulty,4.45,2.33,1.9,1,0.15,0,1.22
fact,insight,4.77,2.72,1.72,1,0.15,0,1.11
job,management,3.97,3.19,2.72,2,0.15,0,1.33
cancer,sickness,7.93,3.86,3.45,2,0.15,0,1.57
word,newspaper,2.47,3.56,4.82,3,0.15,0,0.94
composer,writer,6.58,4.37,4.32,3,0.15,0,0.8
actor,singer,4.52,4.57,4.62,3,0.15,0,1.26
shelter,hut,6.47,4.64,4.65,3,0.15,0,1.59
bathroom,kitchen,3.1,4.52,4.97,4,0.15,0,1.22
cabin,hut,6.53,4.92,4.65,4,0.15,0,1.37
door,kitchen,1.67,4.81,4.97,4,0.15,0,0.44
value,belief,7.07,1.62,1.19,1,0.14,0,0.95
wisdom,intelligence,7.47,1.53,2.24,1,0.14,0,1.33
ignorance,intelligence,1.5,1.6,2.24,1,0.14,0,1.3
happiness,luck,2.38,2.6,1.33,1,0.14,0,1.2
idea,scheme,6.75,1.61,2.41,1,0.14,0,1.47
mood,emotion,8.12,1.75,2.44,1,0.14,0,1.64
happiness,peace,6.03,2.6,1.62,1,0.14,0,1.35
despair,misery,7.22,2.21,2.04,1,0.14,0,1.06
logic,arithmetic,3.97,1.72,2.74,1,0.14,0,1.81
denial,confession,1.03,2.46,2.4,1,0.14,0,1.64
argument,criticism,5.08,2.85,2.07,1,0.14,0,1.07
aggression,hostility,8.48,2.68,2.24,1,0.14,0,0.44
hysteria,confusion,6.33,2.86,2.24,1,0.14,0,0.44
chemistry,theory,3.17,3.64,1.47,1,0.14,0,1.4
trial,verdict,3.33,3.07,2.19,2,0.14,0,1.18
comfort,safety,5.8,2.89,2.37,2,0.14,0,1.21
confidence,self,3.12,2.17,3.1,2,0.14,0,1.24
vision,perception,6.88,3.39,2,2,0.14,0,1.31
era,decade,5.4,2.24,3.19,2,0.14,0,1.02
biography,fiction,1.38,3.39,2.14,2,0.14,0,1.24
discussion,argument,5.48,3.07,2.85,2,0.14,0,1.43
code,symbol,6.03,3,3.11,2,0.14,0,1.67
danger,disease,3,2.68,3.45,2,0.14,0,0.44
accident,catastrophe,5.9,3.26,2.96,2,0.14,0,1.63
journey,trip,8.88,2.57,3.71,2,0.14,0,1.14
activity,movement,7.15,2.72,3.63,2,0.14,0,1.1
gossip,news,5.22,3,3.41,2,0.14,0,1.21
father,god,3.57,4.52,2.07,2,0.14,0,1.31
action,course,5.45,2.86,3.82,2,0.14,0,1.75
fever,illness,7.65,3.27,3.54,2,0.14,0,1.54
aviation,flight,8.18,3.39,3.9,2,0.14,0,1.83
game,action,4.85,4.5,2.86,2,0.14,0,1.12
molecule,air,3.05,3.27,4.11,2,0.14,0,1.84
home,state,2.58,4.11,3.52,3,0.14,0,1.6
word,literature,4.77,3.56,4.1,3,0.14,0,0.59
adult,guardian,6.9,4.4,3.28,3,0.14,0,1.19
newspaper,information,5.65,4.82,2.87,3,0.14,0,1.31
communication,television,5.6,2.9,4.83,3,0.14,0,1.27
cousin,uncle,4.63,3.7,4.24,3,0.14,0,1.84
author,reader,1.6,4.26,3.89,3,0.14,0,1.47
guy,partner,3.57,4.68,3.53,3,0.14,0,1.24
area,corner,2.07,3.72,4.61,3,0.14,0,1.41
ballad,song,7.53,3.88,4.46,3,0.14,0,0.84
wall,decoration,2.62,4.86,3.53,3,0.14,0,0.89
word,page,2.92,3.56,4.9,3,0.14,0,0.99
nurse,scientist,2.08,4.39,4.24,3,0.14,0,1.06
politician,president,7.38,4.33,4.4,3,0.14,0,1.05
president,mayor,5.68,4.4,4.37,3,0.14,0,1.4
book,essay,4.72,4.9,3.97,3,0.14,0,1.3
man,warrior,4.72,4.79,4.17,3,0.14,0,1.03
article,journal,6.18,4.33,4.63,3,0.14,0,1.45
breakfast,supper,4.4,4.43,4.63,3,0.14,0,1.47
crowd,parade,3.93,4.52,4.54,3,0.14,0,1.05
aisle,hallway,6.75,4.35,4.74,3,0.14,0,1.36
teacher,rabbi,4.37,4.52,4.64,3,0.14,0,1.12
hip,lip,1.43,4.21,4.96,3,0.14,0,1.45
book,article,5.43,4.9,4.33,3,0.14,0,0.95
room,cell,4.58,4.79,4.44,3,0.14,0,1.28
box,booth,3.8,4.9,4.42,3,0.14,0,1.38
daughter,kid,4.17,4.79,4.56,3,0.14,0,1.24
limb,leg,6.9,4.64,4.83,4,0.14,0,1.23
liver,lung,2.7,4.68,4.82,4,0.14,0,1.38
classroom,hallway,2,4.76,4.74,4,0.14,0,1.23
mountain,ledge,3.73,4.96,4.72,4,0.14,0,1.21
car,elevator,1.03,4.89,4.79,4,0.14,0,1.19
bed,couch,3.42,5,4.71,4,0.14,0,1.85
clothes,button,2.3,4.76,4.96,4,0.14,0,1.44
clothes,coat,5.35,4.76,4.97,4,0.14,0,1.37
kidney,organ,6.17,4.96,4.77,4,0.14,0,0.95
apple,sauce,1.43,5,4.75,4,0.14,0,2.11
chicken,steak,3.73,4.8,4.96,4,0.14,0,1.39
car,hose,0.87,4.89,4.87,4,0.14,0,0.78
tobacco,cigarette,7.5,4.88,4.88,4,0.14,0,1.49
student,professor,1.95,4.92,4.86,4,0.14,0,1.13
baby,daughter,5,5,4.79,4,0.14,0,1.29
pipe,cigar,6.03,4.88,4.93,4,0.14,0,1.01
milk,juice,4.05,4.92,4.89,4,0.14,0,1.46
box,cigar,1.25,4.9,4.93,4,0.14,0,1.89
apartment,hotel,3.33,4.9,4.93,4,0.14,0,1.18
cup,cone,3.17,5,4.86,4,0.14,0,1.13
horse,ox,3.02,5,4.86,4,0.14,0,1.18
throat,nose,2.8,4.97,4.89,4,0.14,0,1.12
bone,teeth,4.17,4.9,4.96,4,0.14,0,1.92
bone,elbow,3.78,4.9,5,4,0.14,0,1.58
bacon,bean,1.22,4.9,5,4,0.14,0,0.92
cup,jar,5.13,5,5,4,0.14,0,1.17
proof,fact,7.3,2.67,2.72,2,0.13,0,1.7
appointment,engagement,6.75,3,2.75,2,0.13,0,1.59
birthday,year,1.67,3.2,3.25,2,0.13,0,1.69
word,clue,2.53,3.56,2.93,2,0.13,0,1.65
author,creator,8.02,4.26,3.07,2,0.13,0,1.5
atom,carbon,3.1,3.34,4.22,3,0.13,0,0.93
archbishop,bishop,7.05,4.14,4.21,3,0.13,0,1.59
letter,paragraph,4,4.7,3.96,3,0.13,0,1.12
page,paragraph,3.03,4.9,3.96,3,0.13,0,1.37
steeple,chapel,7.08,4.74,4.6,3,0.13,0,1.03
muscle,bone,3.65,4.5,4.9,3,0.13,0,1.68
muscle,tongue,5,4.5,4.93,3,0.13,0,1.65
boy,soldier,2.15,4.76,4.72,4,0.13,0,1.51
belly,abdomen,8.13,4.8,4.7,4,0.13,0,1.53
guy,girl,3.33,4.68,4.85,4,0.13,0,1.9
bed,chair,3.5,5,4.58,4,0.13,0,1.26
clothes,jacket,5.15,4.76,4.86,4,0.13,0,0.74
gun,knife,3.65,4.83,4.9,4,0.13,0,1.03
tin,metal,5.63,4.87,4.87,4,0.13,0,1.15
bottle,container,7.93,4.91,4.85,4,0.13,0,1.38
hen,turkey,6.13,4.9,4.89,4,0.13,0,1.6
meat,bread,1.67,4.9,4.92,4,0.13,0,1.62
arm,bone,3.83,4.96,4.9,4,0.13,0,1.94
neck,spine,5.32,5,4.88,4,0.13,0,1.16
apple,lemon,4.05,5,5,4,0.13,0,1.58
agony,grief,7.63,2.38,2.7,1,0.12,0,1.94
assignment,task,8.7,3.86,2.84,2,0.12,0,1.37
night,dawn,2.95,4.52,4.46,3,0.12,0,1.53
dinner,soup,3.72,4.5,4.72,3,0.12,0,1.89
calf,bull,4.93,4.48,4.85,3,0.12,0,1.67
snow,storm,4.8,4.85,4.7,4,0.12,0,0.88
nail,hand,3.42,4.93,4.72,4,0.12,0,1.14
dog,horse,2.38,4.85,5,4,0.12,0,1.39
arm,neck,1.58,4.96,5,4,0.12,0,0.72
ball,glove,1.75,5,4.97,4,0.12,0,1.27
flu,fever,6.08,3.65,3.27,2,0.11,0,1.58
fee,salary,3.72,3.89,3.69,3,0.11,0,1.26
nerve,brain,3.88,3.89,4.69,3,0.11,0,1.74
beast,animal,7.83,4.63,4.61,3,0.11,0,1.64
dinner,chicken,2.85,4.5,4.8,3,0.11,0,1.5
girl,maid,2.93,4.85,4.64,4,0.11,0,0.9
child,boy,5.75,4.78,4.76,4,0.11,0,1.82
alcohol,wine,7.42,4.76,4.79,4,0.11,0,1.53
nose,mouth,3.73,4.89,4.74,4,0.11,0,1.5
street,car,2.38,4.75,4.89,4,0.11,0,1.16
bell,door,2.2,4.96,4.81,4,0.11,0,1.46
box,hat,1.3,4.9,4.88,4,0.11,0,1.15
belief,impression,5.95,1.19,2.23,1,0.1,0,0.72
bias,opinion,5.6,1.68,1.93,1,0.1,0,1.16
attention,awareness,8.73,2.3,1.84,1,0.1,0,1.64
anger,mood,4.1,2.41,1.75,1,0.1,0,1.87
elegance,style,5.72,2.18,2.67,1,0.1,0,1.76
beauty,age,1.58,2.93,2.86,2,0.1,0,1.54
book,theme,2.58,4.9,2.72,3,0.1,0,0.81
friend,mother,2.53,3.07,4.6,3,0.1,0,1.54
vitamin,iron,5.55,4.48,4.59,3,0.1,0,1.14
car,factory,2.75,4.89,4.76,4,0.1,0,1.43
pact,condition,2.45,2.52,2.15,1,0,0,1.59
chapter,choice,0.48,3.43,1.9,2,0,0,0.86
arithmetic,rhythm,2.35,2.74,3.07,2,0,0,2.08
winner,presence,1.08,3.21,2.72,2,0,0,1.12
belief,flower,0.4,1.19,5,2,0,0,1.19
winner,goal,3.23,3.21,3.06,2,0,0,1.67
trick,size,0.48,3.36,3.13,2,0,0,0.59
choice,vein,0.98,1.9,4.63,2,0,0,1.11
hymn,conquest,0.68,4.04,2.54,2,0,0,0.88
endurance,band,0.4,2,4.68,2,0,0,0.44
jail,choice,1.08,4.83,1.9,2,0,0,1.08
condition,boy,0.48,2.15,4.76,2,0,0,0.8
flower,endurance,0.4,5,2,2,0,0,1.7
hole,agreement,0.3,4.81,2.22,2,0,0,1.72
doctor,temper,0.48,4.69,2.56,2,0,0,1.44
fraternity,door,0.68,2.46,4.81,2,0,0,0.94
task,woman,0.68,2.84,4.46,2,0,0,0.34
fraternity,baseball,0.88,2.46,4.86,2,0,0,0.98
cent,size,0.4,4.19,3.13,2,0,0,1.24
presence,door,0.48,2.72,4.81,3,0,0,0.83
mouse,management,0.48,4.83,2.72,3,0,0,1.59
task,highway,0.48,2.84,4.72,3,0,0,1.34
liquor,century,0.4,4.73,2.83,3,0,0,1.31
task,straw,0.68,2.84,4.77,3,0,0,1.53
island,task,0.3,4.96,2.84,3,0,0,0.96
night,chapter,0.48,4.52,3.43,3,0,0,0.92
pollution,president,0.68,3.75,4.4,3,0,0,1.6
gun,trick,0.48,4.83,3.36,3,0,0,1.41
bath,trick,0.58,4.85,3.36,3,0,0,1.28
diet,apple,1.18,3.21,5,3,0,0,1.56
cent,wife,0.58,4.19,4.13,3,0,0,1.7
chapter,tail,0.3,3.43,4.96,3,0,0,1.57
course,stomach,0.58,3.82,4.89,3,0,0,0.87
hymn,straw,0.4,4.04,4.77,3,0,0,1.64
dentist,colonel,0.4,4.93,3.89,3,0,0,1.7
wife,straw,0.4,4.13,4.77,3,0,0,1.53
hole,wife,0.68,4.81,4.13,3,0,0,1.18
pupil,president,0.78,4.55,4.4,3,0,0,1.28
bath,wife,0.48,4.85,4.13,3,0,0,1.42
people,cent,0.48,4.82,4.19,3,0,0,1.61
formula,log,1.77,4.11,4.96,3,0,0,1.51
woman,fur,0.58,4.46,4.69,3,0,0,0.99
apple,sunshine,0.58,5,4.21,3,0,0,1.2
gun,dawn,1.18,4.83,4.46,3,0,0,1.57
meal,waist,0.98,4.62,4.72,3,0,0,1.58
camera,president,0.48,5,4.4,3,0,0,1.56
liquor,band,0.68,4.73,4.68,3,0,0,0.91
stomach,vein,2.35,4.89,4.63,4,0,0,1.2
gun,fur,0.3,4.83,4.69,4,0,0,1.8
couch,baseball,0.88,4.71,4.86,4,0,0,1.32
worker,camera,0.68,4.59,5,4,0,0,1.21
deck,mouse,0.48,4.77,4.83,4,0,0,1.48
rice,boy,0.4,4.86,4.76,4,0,0,1.72
people,gun,0.68,4.82,4.83,4,0,0,1.47
cliff,tail,0.3,4.71,4.96,4,0,0,1.57
ankle,window,0.3,4.81,4.86,4,0,0,1.8
princess,island,0.3,4.72,4.96,4,0,0,1.36
container,mouse,0.3,4.85,4.83,4,0,0,0.95
wagon,container,2.65,4.89,4.85,4,0,0,0.85
people,balloon,0.48,4.82,4.92,4,0,0,1.96
dollar,people,0.4,4.93,4.82,4,0,0,1.42
bath,balloon,0.4,4.85,4.92,4,0,0,1.41
stomach,bedroom,0.4,4.89,4.9,4,0,0,0.97
bicycle,bedroom,0.4,4.89,4.9,4,0,0,1.47
log,bath,0.4,4.96,4.85,4,0,0,1.63
bowl,tail,0.48,4.87,4.96,4,0,0,1
go,come,2.42,3.15,2.72,2,5.75,1,1.51
take,steal,6.18,3.06,3.84,2,3.28,1,1.69
listen,hear,8.17,3.47,3.66,2,3.22,1,1.72
think,rationalize,8.25,2.41,1.52,1,3.17,1,1.13
occur,happen,9.32,1.84,1.78,1,2.87,1,1.34
vanish,disappear,9.8,2.77,2.86,2,2.76,1,0.46
multiply,divide,1.75,2.79,2.86,2,2.53,1,1.32
plead,beg,9.08,2.59,2.96,2,2.5,1,1.26
begin,originate,8.2,2.56,2.23,1,2.44,1,0.75
protect,defend,9.13,2.86,2.31,1,2.28,1,1.29
kill,destroy,5.9,3.9,3.08,2,2,1,1.93
create,make,8.72,2.62,2.67,2,1.72,1,1.14
accept,reject,0.83,3.03,2.4,2,1.69,1,1.28
ignore,avoid,6.87,2.22,2.41,1,1.56,1,1.22
carry,bring,5.8,4.04,2.55,2,1.37,1,1.24
leave,enter,0.95,2.53,3.12,2,1.3,1,1.91
choose,elect,7.62,2.62,2.41,1,1.28,1,1.14
lose,fail,7.33,2.25,3,2,1.28,1,1.79
encourage,discourage,1.58,2.61,1.9,1,1.23,1,1.55
achieve,accomplish,8.57,2.29,2.33,1,1.22,1,0.94
make,construct,8.33,2.67,2.6,2,1.2,1,0.85
listen,obey,4.93,3.47,2.67,2,1.19,1,1.33
inform,notify,9.25,2.25,3.04,2,1.15,1,0.44
receive,give,1.47,2.69,2.83,2,1.11,1,1.19
borrow,beg,2.62,3.1,2.96,2,1,1,1.89
take,obtain,7.1,3.06,3,2,0.9,1,1.01
advise,recommend,8.1,2.03,1.74,1,0.89,1,1.6
imitate,portray,6.75,2.66,2.18,1,0.89,1,1.13
win,succeed,7.9,2.67,2.33,1,0.89,1,1.83
think,decide,5.13,2.41,1.92,1,0.88,1,1.4
greet,meet,6.17,2.96,3,2,0.83,1,1.73
agree,argue,0.77,2.31,2.75,1,0.81,1,1.68
enjoy,entertain,5.92,2.29,2.55,1,0.79,1,1.27
destroy,make,1.6,3.08,2.67,2,0.78,1,1.72
save,protect,6.58,2.42,2.86,2,0.74,1,0.44
give,lend,7.22,2.83,3.07,2,0.72,1,0.93
understand,know,7.47,2.28,1.68,1,0.71,1,1.26
take,receive,5.08,3.06,2.69,2,0.7,1,0.48
accept,acknowledge,6.88,3.03,2.03,1,0.69,1,1.63
decide,choose,8.87,1.92,2.62,1,0.67,1,1.26
accept,believe,6.75,3.03,1.55,1,0.67,1,1.61
keep,possess,8.27,2.37,2.6,1,0.62,1,0.8
roam,wander,8.83,2.85,2.28,1,0.61,1,0.89
succeed,fail,0.83,2.33,3,2,0.61,1,1.44
spend,save,0.55,2.93,2.42,2,0.61,1,1.06
leave,go,7.63,2.53,3.15,2,0.61,1,1.49
come,attend,8.1,2.72,3.17,2,0.61,1,1.6
know,believe,5.5,1.68,1.55,1,0.6,1,1.18
gather,meet,7.3,2.75,3,2,0.55,1,0.59
make,earn,7.62,2.67,2.39,1,0.54,1,1.92
forget,ignore,3.07,2.04,2.22,1,0.5,1,1.25
multiply,add,2.7,2.79,3,2,0.5,1,1.8
shrink,grow,0.23,3.55,3.03,2,0.5,1,1.2
arrive,leave,1.33,3.22,2.53,2,0.49,1,1.48
succeed,try,3.98,2.33,2.22,1,0.48,1,1.35
accept,deny,1.75,3.03,2.2,2,0.48,1,1.41
arrive,come,7.05,3.22,2.72,2,0.48,1,1.56
agree,differ,1.05,2.31,1.59,1,0.42,0,1.53
send,receive,1.08,2.7,2.69,2,0.42,0,1.53
win,dominate,5.68,2.67,2.12,1,0.41,0,1.74
add,divide,2.3,3,2.86,2,0.41,0,1.25
kill,choke,4.92,3.9,3.97,3,0.41,0,1.48
acquire,get,8.82,2.93,2.38,2,0.39,0,0.94
participate,join,7.7,2.59,2.86,2,0.39,0,1.69
leave,remain,2.53,2.53,1.96,1,0.34,0,1.36
go,enter,4,3.15,3.12,2,0.34,0,1.43
take,carry,5.23,3.06,4.04,2,0.34,0,0.44
forget,learn,1.18,2.04,2.2,1,0.33,0,1.65
appoint,elect,8.17,2.24,2.41,1,0.33,0,1.51
engage,marry,5.43,2.07,3.03,1,0.33,0,1.12
ask,pray,3.72,2.52,3.21,2,0.33,0,1.63
go,send,3.75,3.15,2.7,2,0.33,0,0.77
take,deliver,4.37,3.06,3.12,2,0.33,0,1.16
speak,hear,3.02,3.7,3.66,2,0.33,0,0.76
analyze,evaluate,8.03,2.3,1.85,1,0.28,0,0.49
argue,rationalize,4.2,2.75,1.52,1,0.28,0,1.21
lose,keep,1.05,2.25,2.37,1,0.28,0,1.57
compare,analyze,8.1,2.52,2.3,1,0.28,0,0.84
disorganize,organize,1.45,2.44,2.72,1,0.28,0,1.3
go,allow,3.62,3.15,2.41,2,0.28,0,1.53
take,possess,7.2,3.06,2.6,2,0.28,0,1.14
learn,listen,3.88,2.2,3.47,2,0.28,0,1.65
destroy,construct,0.92,3.08,2.6,2,0.28,0,1.78
create,build,8.48,2.62,3.71,2,0.28,0,1.14
steal,buy,1.13,3.84,3.35,2,0.28,0,0.95
kill,hang,4.45,3.9,3.7,3,0.28,0,1.43
forget,know,0.92,2.04,1.68,1,0.27,0,1.6
create,imagine,5.13,2.62,1.53,1,0.27,0,1.7
do,happen,4.23,2.46,1.78,1,0.27,0,1.02
win,accomplish,7.85,2.67,2.33,1,0.27,0,0.8
give,deny,1.43,2.83,2.2,1,0.27,0,1.36
deserve,earn,5.8,1.69,2.39,1,0.23,0,0.62
get,put,1.98,2.38,2.5,1,0.22,0,1.33
locate,find,8.73,2.97,2.63,2,0.22,0,1.54
appear,attend,6.28,3.13,3.17,2,0.22,0,1.47
know,comprehend,7.63,1.68,1.86,1,0.21,0,1.39
pretend,imagine,8.47,2.11,1.53,1,0.21,0,1.63
satisfy,please,7.67,2.04,1.64,1,0.21,0,1.74
cherish,keep,4.85,1.73,2.37,1,0.21,0,1.78
argue,differ,5.15,2.75,1.59,1,0.21,0,1.22
overcome,dominate,6.25,2.28,2.12,1,0.21,0,1.58
behave,obey,7.3,1.78,2.67,1,0.21,0,1.24
cooperate,participate,6.43,1.87,2.59,1,0.21,0,1.5
achieve,try,4.42,2.29,2.22,1,0.21,0,1.14
fail,discourage,3.33,3,1.9,1,0.21,0,1.2
begin,quit,1.28,2.56,2.56,1,0.21,0,1.53
say,participate,3.82,2.58,2.59,1,0.21,0,1.3
come,bring,2.42,2.72,2.55,2,0.21,0,1.03
declare,announce,9.08,2,3.31,2,0.21,0,1.56
read,comprehend,4.7,3.56,1.86,2,0.21,0,1.75
take,leave,2.47,3.06,2.53,2,0.21,0,0.8
proclaim,announce,8.18,2.36,3.31,2,0.21,0,1.58
acquire,obtain,8.57,2.93,3,2,0.21,0,1.96
conclude,decide,7.75,1.78,1.92,1,0.2,0,1.17
please,plead,2.98,1.64,2.59,1,0.2,0,1.18
argue,prove,4.83,2.75,1.83,1,0.2,0,0.62
ask,plead,6.47,2.52,2.59,1,0.2,0,1.62
find,disappear,0.77,2.63,2.86,2,0.2,0,1.04
inspect,examine,8.75,3.31,2.86,2,0.2,0,1.39
verify,justify,4.08,2.1,1.45,1,0.17,0,1.11
assume,predict,4.85,1.75,2,1,0.17,0,1.02
learn,evaluate,4.17,2.2,1.85,1,0.17,0,0.88
argue,justify,5,2.75,1.45,1,0.17,0,1.13
make,become,4.77,2.67,1.54,1,0.17,0,0.82
discover,originate,4.83,2.37,2.23,1,0.17,0,1.33
achieve,succeed,7.5,2.29,2.33,1,0.17,0,1.29
give,put,3.65,2.83,2.5,2,0.17,0,1.47
understand,listen,4.68,2.28,3.47,2,0.17,0,1.66
expand,grow,8.27,3.36,3.03,2,0.17,0,1.28
borrow,sell,1.73,3.1,3.35,2,0.17,0,1.21
keep,protect,5.4,2.37,2.86,2,0.15,0,1.26
explain,prove,4.1,1.97,1.83,1,0.14,0,1.29
assume,pretend,3.72,1.75,2.11,1,0.14,0,1.15
agree,please,4.13,2.31,1.64,1,0.14,0,1.7
forgive,forget,3.92,1.92,2.04,1,0.14,0,1.5
clarify,explain,8.33,2.07,1.97,1,0.14,0,1.74
understand,forgive,4.87,2.28,1.92,1,0.14,0,1.32
remind,forget,0.87,2.19,2.04,1,0.14,0,1.56
get,remain,1.6,2.38,1.96,1,0.14,0,1.68
realize,discover,7.47,2.03,2.37,1,0.14,0,0.59
require,inquire,1.82,2.07,2.38,1,0.14,0,1.06
ignore,ask,1.07,2.22,2.52,1,0.14,0,1.27
think,inquire,4.77,2.41,2.38,1,0.14,0,1.23
reject,avoid,4.78,2.4,2.41,1,0.14,0,1.36
argue,persuade,6.23,2.75,2.07,1,0.14,0,1.7
pursue,persuade,3.17,2.83,2.07,1,0.14,0,1.39
accept,forgive,3.73,3.03,1.92,1,0.14,0,1.75
do,quit,1.17,2.46,2.56,1,0.14,0,1.81
investigate,examine,8.1,2.27,2.86,1,0.14,0,1.31
discuss,explain,6.67,3.17,1.97,1,0.14,0,1.53
